MS Zoning;A (agr);C;FV;I (all);RH;RL;RM;Lot Frontage;Lot Area;Street;Pave;Grvl;Alley;Pave;Grvl;NA;Lot Shape;IR1;IR2;IR3;Reg;Land Contour;Bnk;HLS;Low;Lvl;Utilities;AllPub;NoSeWa;NoSewr;Lot Config;Corner;CuIDSac;FR2;FR3;Inside;Land Slope;Gtl;Mod;Sev;Neighborhood;Blmngtn;Blueste;BrDale;BrkSide;ClearCr;CollgCr;Crawfor;Edwards;Gilbert;Greens;GrnHill;IDOTRR;Landmrk;MeadowV;Mitchel;NAmes;NoRidge;NPkVill;NridgHt;NWAmes;OldTown;Sawyer;SawyerW;Somerst;StoneBr;SWISU;Timber;Veenker;Condition 1;Artery;Feedr;Norm;RRNn;RRAn;PosN;PosA;RRNe;RRAe;Condition 2;Artery;Feedr;Norm;RRNn;RRAn;PosN;PosA;RRNe;RRAe;Bldg Type;1Fam;2FmCon;Duplx;TwnhsE;TwnhsI;House Style;1Story;1.5Fin;1.5Unf;2Story;2.5Fin;2.5Unf;Sfoyer;SLvl;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Flat;Gable;Gambrel;Hip;Mansard;Shed;Roof Matl;ClyTile;CompShg;Membran;Metal;Roll;Tar&Grv;WdShake;WdShngl;Exterior 1st;AsbShng;AsphShn;BrkComm;BrkFace;CBlock;CemntBd;HdBoard;ImStucc;MetalSd;Other;Plywood;PreCast;Stone;Stucco;VinylSd;Wd Sdng;WdShing;Exterior 2nd;AsbShng;AsphShn;BrkComm;BrkFace;CBlock;CemntBd;HdBoard;ImStucc;MetalSd;Other;Plywood;PreCast;Stone;Stucco;VinylSd;Wd Sdng;WdShing;Mas Vnr Type;BrkCmn;BrkFace;CBlock;None;Stone;Mas Vnr Area;BsmtFin SF 1;BsmtFin SF 2;Bsmt Unf SF;Total Bsmt SF;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Gr Liv Area;Bsmt Full Bath;Bsmt Half Bath;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Yr Blt;Garage Cars;Garage Area;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Mo Sold;1;2;3;4;5;6;7;8;9;10;11;12;Yr Sold;2006;2007;2008;2009;2010;Sale Type;COD;Con;ConLD;ConLI;ConLW;CWD;New;Oth;VWD;WD ;Sale Condition;Normal;Abnorml;AdjLand;Alloca;Family;Partial;SalePrice
RL;0;0;0;0;0;1;0;64;7018;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Bnk;1;0;0;0;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1Story;1;0;0;0;0;0;0;0;5;5;1979;1979;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1535;0;0;1535;0;0;2;0;4;2;8;0;1979;2;410;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Alloca;0;0;0;1;0;0;118964
RL;0;0;0;0;0;1;0;64;7018;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Feedr;0;1;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;2Story;0;0;0;1;0;0;0;0;5;5;1979;1979;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1114;1114;0;2228;0;0;2;0;6;2;8;0;1979;2;720;73;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Alloca;0;0;0;1;0;0;147983
RL;0;0;0;0;0;1;0;64;7018;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Bnk;1;0;0;0;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1Story;1;0;0;0;0;0;0;0;5;5;1979;1979;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1535;0;0;1535;0;0;2;0;4;2;8;0;1979;2;400;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Alloca;0;0;0;1;0;0;118858
RL;0;0;0;0;0;1;0;64;7018;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Bnk;1;0;0;0;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1Story;1;0;0;0;0;0;0;0;5;5;1979;1979;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;Plywood;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plywood;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1535;0;0;1535;0;0;2;0;4;2;8;0;1979;2;400;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Alloca;0;0;0;1;0;0;118858
RL;0;0;0;0;0;1;0;64;7018;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Feedr;0;1;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;2Story;0;0;0;1;0;0;0;0;5;5;1979;1979;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;Plywood;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plywood;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1120;1120;0;2240;0;0;2;0;6;2;12;0;1979;2;528;154;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Alloca;0;0;0;1;0;0;142953
RL;0;0;0;0;0;1;0;64;7007;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Bnk;1;0;0;0;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;SawyerW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1Story;1;0;0;0;0;0;0;0;5;5;1979;1979;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1513;0;0;1513;0;0;2;0;4;2;8;0;1979;2;400;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Alloca;0;0;0;1;0;0;113722
RL;0;0;0;0;0;1;0;67;8777;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;Edwards;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Feedr;0;1;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;4;5;1949;2003;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;VinylSd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;None;0;0;0;1;0;0;0;0;0;0;1126;0;0;1126;0;0;2;0;2;1;5;0;2002;2;520;0;96;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;108000
RL;0;0;0;0;0;1;0;64;7301;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Corner;1;0;0;0;0;Gtl;1;0;0;Edwards;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;SFoyer;0;0;0;0;0;0;1;0;7;5;2003;2003;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;HdBoard;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;BrkFace;0;1;0;0;0;500;0;0;0;0;495;1427;0;1922;0;0;3;0;4;1;7;1;2003;2;672;0;0;177;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;2009;0;0;0;1;0;ConLD;0;0;1;0;0;0;0;0;0;0;Normal;1;0;0;0;0;0;198500
RL;0;0;0;0;0;1;0;50;8405;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;Edwards;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1.5Fin;0;1;0;0;0;0;0;0;4;3;1945;1950;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;WdShing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Wd Shng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1088;441;0;1529;0;0;2;0;4;1;9;0;1945;1;240;92;0;185;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;98000
RL;0;0;0;0;0;1;0;74;10206;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Corner;1;0;0;0;0;Gtl;1;0;0;Edwards;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;3;3;1952;1952;Flat;1;0;0;0;0;0;Tar&Grv;0;0;0;0;0;1;0;0;BrkComm;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Brk Cmn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;944;0;0;944;0;0;1;0;2;1;4;0;1956;2;528;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;2009;0;0;0;1;0;WD ;0;0;0;0;0;0;0;0;0;1;Normal;1;0;0;0;0;0;82000
I (all);0;0;0;1;0;0;0;109;21780;Grvl;0;1;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;NoSewr;0;0;1;Inside;0;0;0;0;1;Gtl;1;0;0;IDOTRR;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;1Fam;1;0;0;0;0;1Story;1;0;0;0;0;0;0;0;2;4;1910;1950;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;Wd Sdng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Wd Sdng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;None;0;0;0;1;0;0;0;0;0;0;810;0;0;810;0;0;1;0;1;1;4;0;1975;1;280;119;24;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;2009;0;0;0;1;0;ConLD;0;0;1;0;0;0;0;0;0;0;Normal;1;0;0;0;0;0;57625
RL;0;0;0;0;0;1;0;75;10125;Pave;1;0;NA;0;0;1;Reg;0;0;0;1;Lvl;0;0;0;1;AllPub;1;0;0;Inside;0;0;0;0;1;Gtl;1;0;0;Mitchel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Norm;0;0;1;0;0;0;0;0;0;Duplex;0;0;0;0;0;1.5Fin;0;1;0;0;0;0;0;0;5;5;1977;1977;Gable;0;1;0;0;0;0;CompShg;0;1;0;0;0;0;0;0;Plywood;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Plywood;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;None;0;0;0;1;0;0;0;0;0;0;1302;432;0;1734;0;0;2;0;4;2;8;0;1977;2;539;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;2009;0;0;0;1;0;COD;1;0;0;0;0;0;0;0;0;0;Normal;1;0;0;0;0;0;126000
