Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
218.85,0.00,124.13,158.49,11.33,1078.70,794.91,100.00,46.23
376.00,0.00,0.00,214.60,0.00,1003.50,762.36,3.00,16.28
376.00,0.00,0.00,214.60,0.00,1003.50,762.36,14.00,25.62
376.00,0.00,0.00,214.60,0.00,1003.50,762.36,28.00,31.97
376.00,0.00,0.00,214.60,0.00,1003.50,762.36,56.00,36.30
376.00,0.00,0.00,214.60,0.00,1003.50,762.36,100.00,43.06
500.00,0.00,0.00,140.00,4.00,966.00,853.00,28.00,67.57
475.00,0.00,59.00,142.00,1.90,1098.00,641.00,28.00,57.23
315.00,137.00,0.00,145.00,5.90,1130.00,745.00,28.00,81.75
505.00,0.00,60.00,195.00,0.00,1030.00,630.00,28.00,64.02
451.00,0.00,0.00,165.00,11.25,1030.00,745.00,28.00,78.80
516.00,0.00,0.00,162.00,8.20,801.00,802.00,28.00,41.37
520.00,0.00,0.00,170.00,5.20,855.00,855.00,28.00,60.28
528.00,0.00,0.00,185.00,6.86,920.00,720.00,28.00,56.83
520.00,0.00,0.00,175.00,5.20,870.00,805.00,28.00,51.02
385.00,0.00,136.00,158.00,20.00,903.00,768.00,28.00,55.55
500.10,0.00,0.00,200.00,3.00,1124.40,613.20,28.00,44.13
450.10,50.00,0.00,200.00,3.00,1124.40,613.20,28.00,39.38
397.00,17.20,158.00,167.00,20.80,967.00,633.00,28.00,55.65
333.00,17.50,163.00,167.00,17.90,996.00,652.00,28.00,47.28
334.00,17.60,158.00,189.00,15.30,967.00,633.00,28.00,44.33
405.00,0.00,0.00,175.00,0.00,1120.00,695.00,28.00,52.30
200.00,200.00,0.00,190.00,0.00,1145.00,660.00,28.00,49.25
516.00,0.00,0.00,162.00,8.26,801.00,802.00,28.00,41.37
145.00,116.00,119.00,184.00,5.70,833.00,880.00,28.00,29.16
160.00,128.00,122.00,182.00,6.40,824.00,879.00,28.00,39.40
234.00,156.00,0.00,189.00,5.85,981.00,760.00,28.00,39.30
250.00,180.00,95.00,159.00,9.45,860.00,800.00,28.00,67.87
475.00,0.00,0.00,162.00,9.50,1044.00,662.00,28.00,58.52
285.00,190.00,0.00,163.00,7.60,1031.00,685.00,28.00,53.58
356.00,119.00,0.00,160.00,9.03,1061.00,657.00,28.00,59.00
275.00,180.00,120.00,162.00,10.35,830.00,765.00,28.00,76.24
500.00,0.00,0.00,151.00,9.00,1033.00,655.00,28.00,69.84
165.00,0.02,143.57,163.81,0.00,1005.60,900.90,3.00,14.40
165.00,128.50,132.10,175.06,8.08,1005.80,746.60,3.00,19.42
178.03,129.80,118.60,179.94,3.57,1007.30,746.80,3.00,20.73
167.35,129.90,128.62,175.46,7.79,1006.30,746.60,3.00,14.94
172.38,13.61,172.37,156.76,4.14,1006.30,856.40,3.00,21.29
173.54,50.05,173.53,164.77,6.47,1006.20,793.50,3.00,23.08
167.00,75.40,167.00,164.03,7.91,1007.30,770.10,3.00,15.52
173.81,93.37,159.90,172.34,9.73,1007.20,746.60,3.00,15.82
190.34,0.00,125.18,166.61,9.88,1079.00,798.90,3.00,12.55
250.00,0.00,95.69,191.84,5.33,948.90,857.20,3.00,8.49
213.50,0.00,174.24,159.21,11.66,1043.60,771.90,3.00,15.61
194.68,0.00,100.52,170.17,7.48,998.00,901.80,3.00,12.18
251.37,0.00,118.27,192.94,5.75,1043.60,754.30,3.00,11.98
165.00,0.02,143.57,163.81,0.00,1005.60,900.90,14.00,16.88
165.00,128.50,132.10,175.06,8.08,1005.80,746.60,14.00,33.09
178.03,129.80,118.60,179.94,3.57,1007.30,746.80,14.00,34.24
167.35,129.90,128.62,175.46,7.79,1006.30,746.60,14.00,31.81
172.38,13.61,172.37,156.76,4.14,1006.30,856.40,14.00,29.75
173.54,50.05,173.53,164.77,6.47,1006.20,793.50,14.00,33.01
167.00,75.40,167.00,164.03,7.91,1007.30,770.10,14.00,32.90
173.81,93.37,159.90,172.34,9.73,1007.20,746.60,14.00,29.55
190.34,0.00,125.18,166.61,9.88,1079.00,798.90,14.00,19.42
250.00,0.00,95.69,191.84,5.33,948.90,857.20,14.00,24.66
213.50,0.00,174.24,159.21,11.66,1043.60,771.90,14.00,29.59
194.68,0.00,100.52,170.17,7.48,998.00,901.80,14.00,24.28
251.37,0.00,118.27,192.94,5.75,1043.60,754.30,14.00,20.73
165.00,0.02,143.57,163.81,0.00,1005.60,900.90,28.00,26.20
165.00,128.50,132.10,175.06,8.08,1005.80,746.60,28.00,46.39
178.03,129.80,118.60,179.94,3.57,1007.30,746.80,28.00,39.16
167.35,129.90,128.62,175.46,7.79,1006.30,746.60,28.00,41.20
172.38,13.61,172.37,156.76,4.14,1006.30,856.40,28.00,33.69
173.54,50.05,173.53,164.77,6.47,1006.20,793.50,28.00,38.20
167.00,75.40,167.00,164.03,7.91,1007.30,770.10,28.00,41.41
173.81,93.37,159.90,172.34,9.73,1007.20,746.60,28.00,37.81
190.34,0.00,125.18,166.61,9.88,1079.00,798.90,28.00,24.85
250.00,0.00,95.69,191.84,5.33,948.90,857.20,28.00,27.22
213.50,0.00,174.24,159.21,11.66,1043.60,771.90,28.00,44.64
194.68,0.00,100.52,170.17,7.48,998.00,901.80,28.00,37.27
251.37,0.00,118.27,192.94,5.75,1043.60,754.30,28.00,33.27
165.00,0.02,143.57,163.81,0.00,1005.60,900.90,56.00,36.56
165.00,128.50,132.10,175.06,8.08,1005.80,746.60,56.00,53.72
178.03,129.80,118.60,179.94,3.57,1007.30,746.80,56.00,48.59
167.35,129.90,128.62,175.46,7.79,1006.30,746.60,56.00,51.72
172.38,13.61,172.37,156.76,4.14,1006.30,856.40,56.00,35.85
173.54,50.05,173.53,164.77,6.47,1006.20,793.50,56.00,53.77
167.00,75.40,167.00,164.03,7.91,1007.30,770.10,56.00,53.46
173.81,93.37,159.90,172.34,9.73,1007.20,746.60,56.00,48.99
190.34,0.00,125.18,166.61,9.88,1079.00,798.90,56.00,31.72
250.00,0.00,95.69,191.84,5.33,948.90,857.20,56.00,39.64
213.50,0.00,174.24,159.21,11.66,1043.60,771.90,56.00,51.26
194.68,0.00,100.52,170.17,7.48,998.00,901.80,56.00,43.39
251.37,0.00,118.27,192.94,5.75,1043.60,754.30,56.00,39.27
165.00,0.02,143.57,163.81,0.00,1005.60,900.90,100.00,37.96
165.00,128.50,132.10,175.06,8.08,1005.80,746.60,100.00,55.02
178.03,129.80,118.60,179.94,3.57,1007.30,746.80,100.00,49.99
167.35,129.90,128.62,175.46,7.79,1006.30,746.60,100.00,53.66
172.38,13.61,172.37,156.76,4.14,1006.30,856.40,100.00,37.68
173.54,50.05,173.53,164.77,6.47,1006.20,793.50,100.00,56.06
167.00,75.40,167.00,164.03,7.91,1007.30,770.10,100.00,56.81
173.81,93.37,159.90,172.34,9.73,1007.20,746.60,100.00,50.94
190.34,0.00,125.18,166.61,9.88,1079.00,798.90,100.00,33.56
250.00,0.00,95.69,191.84,5.33,948.90,857.20,100.00,41.16
213.50,0.00,174.24,159.21,11.66,1043.60,771.90,100.00,52.96
194.68,0.00,100.52,170.17,7.48,998.00,901.80,100.00,44.28
251.37,0.00,118.27,192.94,5.75,1043.60,754.30,100.00,40.15
446.00,24.00,79.00,162.00,11.61,967.00,712.00,28.00,57.03
446.00,24.00,79.00,162.00,11.64,967.00,712.00,28.00,44.42
446.00,24.00,79.00,162.00,11.64,967.00,712.00,28.00,51.02
446.00,24.00,79.00,162.00,10.30,967.00,712.00,28.00,53.39
446.00,24.00,79.00,162.00,11.61,967.00,712.00,3.00,35.36
446.00,24.00,79.00,162.00,11.64,967.00,712.00,3.00,25.02
446.00,24.00,79.00,162.00,11.64,967.00,712.00,3.00,23.35
446.00,24.00,79.00,162.00,11.61,967.00,712.00,7.00,52.01
446.00,24.00,79.00,162.00,11.64,967.00,712.00,7.00,38.02
446.00,24.00,79.00,162.00,11.64,967.00,712.00,7.00,39.30
446.00,24.00,79.00,162.00,11.61,967.00,712.00,56.00,61.07
446.00,24.00,79.00,162.00,11.64,967.00,712.00,56.00,56.14
446.00,24.00,79.00,162.00,11.64,967.00,712.00,56.00,55.25
446.00,24.00,79.00,162.00,10.30,967.00,712.00,56.00,54.77
387.00,20.00,94.00,157.00,14.32,938.00,845.00,28.00,50.24
387.00,20.00,94.00,157.00,13.93,938.00,845.00,28.00,46.68
387.00,20.00,94.00,157.00,11.61,938.00,845.00,28.00,46.68
387.00,20.00,94.00,157.00,14.32,938.00,845.00,3.00,22.75
387.00,20.00,94.00,157.00,13.93,938.00,845.00,3.00,25.51
387.00,20.00,94.00,157.00,11.61,938.00,845.00,3.00,34.77
387.00,20.00,94.00,157.00,14.32,938.00,845.00,7.00,36.84
387.00,20.00,94.00,157.00,13.93,938.00,845.00,7.00,45.90
387.00,20.00,94.00,157.00,11.61,938.00,845.00,7.00,41.67
387.00,20.00,94.00,157.00,14.32,938.00,845.00,56.00,56.34
387.00,20.00,94.00,157.00,13.93,938.00,845.00,56.00,47.97
387.00,20.00,94.00,157.00,11.61,938.00,845.00,56.00,61.46
355.00,19.00,97.00,145.00,13.13,967.00,871.00,28.00,44.03
355.00,19.00,97.00,145.00,12.25,967.00,871.00,28.00,55.45
491.00,26.00,123.00,210.00,3.93,882.00,699.00,28.00,55.55
491.00,26.00,123.00,201.00,3.93,822.00,699.00,28.00,57.92
491.00,26.00,123.00,210.00,3.93,882.00,699.00,3.00,25.61
491.00,26.00,123.00,210.00,3.93,882.00,699.00,7.00,33.49
491.00,26.00,123.00,210.00,3.93,882.00,699.00,56.00,59.59
491.00,26.00,123.00,201.00,3.93,822.00,699.00,3.00,29.55
491.00,26.00,123.00,201.00,3.93,822.00,699.00,7.00,37.92
491.00,26.00,123.00,201.00,3.93,822.00,699.00,56.00,61.86
424.00,22.00,132.00,178.00,8.48,822.00,750.00,28.00,62.05
424.00,22.00,132.00,178.00,8.48,882.00,750.00,3.00,32.01
424.00,22.00,132.00,168.00,8.92,822.00,750.00,28.00,72.10
424.00,22.00,132.00,178.00,8.48,822.00,750.00,7.00,39.00
424.00,22.00,132.00,178.00,8.48,822.00,750.00,56.00,65.70
424.00,22.00,132.00,168.00,8.92,822.00,750.00,3.00,32.11
424.00,22.00,132.00,168.00,8.92,822.00,750.00,7.00,40.29
424.00,22.00,132.00,168.00,8.92,822.00,750.00,56.00,74.36
202.00,11.00,141.00,206.00,1.72,942.00,801.00,28.00,21.97
202.00,11.00,141.00,206.00,1.72,942.00,801.00,3.00,9.85
202.00,11.00,141.00,206.00,1.72,942.00,801.00,7.00,15.07
202.00,11.00,141.00,206.00,1.72,942.00,801.00,56.00,23.25
284.00,15.00,141.00,179.00,5.46,842.00,801.00,28.00,43.73
284.00,15.00,141.00,179.00,5.46,842.00,801.00,3.00,13.40
284.00,15.00,141.00,179.00,5.46,842.00,801.00,7.00,24.13
284.00,15.00,141.00,179.00,5.46,842.00,801.00,56.00,44.52
359.00,19.00,141.00,154.00,10.91,942.00,801.00,28.00,62.94
359.00,19.00,141.00,154.00,10.91,942.00,801.00,28.00,59.49
359.00,19.00,141.00,154.00,10.91,942.00,801.00,3.00,25.12
359.00,19.00,141.00,154.00,10.91,942.00,801.00,3.00,23.64
359.00,19.00,141.00,154.00,10.91,942.00,801.00,7.00,35.75
359.00,19.00,141.00,154.00,10.91,942.00,801.00,7.00,38.61
359.00,19.00,141.00,154.00,10.91,942.00,801.00,56.00,68.75
359.00,19.00,141.00,154.00,10.91,942.00,801.00,56.00,66.78
436.00,0.00,0.00,218.00,0.00,838.40,719.70,28.00,23.85
289.00,0.00,0.00,192.00,0.00,913.20,895.30,90.00,32.07
289.00,0.00,0.00,192.00,0.00,913.20,895.30,3.00,11.65
393.00,0.00,0.00,192.00,0.00,940.60,785.60,3.00,19.20
393.00,0.00,0.00,192.00,0.00,940.60,785.60,90.00,48.85
393.00,0.00,0.00,192.00,0.00,940.60,785.60,28.00,39.60
480.00,0.00,0.00,192.00,0.00,936.20,712.20,28.00,43.94
480.00,0.00,0.00,192.00,0.00,936.20,712.20,7.00,34.57
480.00,0.00,0.00,192.00,0.00,936.20,712.20,90.00,54.32
480.00,0.00,0.00,192.00,0.00,936.20,712.20,3.00,24.40
333.00,0.00,0.00,192.00,0.00,931.20,842.60,3.00,15.62
255.00,0.00,0.00,192.00,0.00,889.80,945.00,90.00,21.86
255.00,0.00,0.00,192.00,0.00,889.80,945.00,7.00,10.22
289.00,0.00,0.00,192.00,0.00,913.20,895.30,7.00,14.60
255.00,0.00,0.00,192.00,0.00,889.80,945.00,28.00,18.75
333.00,0.00,0.00,192.00,0.00,931.20,842.60,28.00,31.97
333.00,0.00,0.00,192.00,0.00,931.20,842.60,7.00,23.40
289.00,0.00,0.00,192.00,0.00,913.20,895.30,28.00,25.57
333.00,0.00,0.00,192.00,0.00,931.20,842.60,90.00,41.68
393.00,0.00,0.00,192.00,0.00,940.60,785.60,7.00,27.74
255.00,0.00,0.00,192.00,0.00,889.80,945.00,3.00,8.20
158.80,238.20,0.00,185.70,0.00,1040.60,734.30,7.00,9.62
239.60,359.40,0.00,185.70,0.00,941.60,664.30,7.00,25.42
238.20,158.80,0.00,185.70,0.00,1040.60,734.30,7.00,15.69
181.90,272.80,0.00,185.70,0.00,1012.40,714.30,28.00,27.94
193.50,290.20,0.00,185.70,0.00,998.20,704.30,28.00,32.63
255.50,170.30,0.00,185.70,0.00,1026.60,724.30,7.00,17.24
272.80,181.90,0.00,185.70,0.00,1012.40,714.30,7.00,19.77
239.60,359.40,0.00,185.70,0.00,941.60,664.30,28.00,39.44
220.80,147.20,0.00,185.70,0.00,1055.00,744.30,28.00,25.75
397.00,0.00,0.00,185.70,0.00,1040.60,734.30,28.00,33.08
382.50,0.00,0.00,185.70,0.00,1047.80,739.30,7.00,24.07
210.70,316.10,0.00,185.70,0.00,977.00,689.30,7.00,21.82
158.80,238.20,0.00,185.70,0.00,1040.60,734.30,28.00,21.07
295.80,0.00,0.00,185.70,0.00,1091.40,769.30,7.00,14.84
255.50,170.30,0.00,185.70,0.00,1026.60,724.30,28.00,32.05
203.50,135.70,0.00,185.70,0.00,1076.20,759.30,7.00,11.96
397.00,0.00,0.00,185.70,0.00,1040.60,734.30,7.00,25.45
381.40,0.00,0.00,185.70,0.00,1104.60,784.30,28.00,22.49
295.80,0.00,0.00,185.70,0.00,1091.40,769.30,28.00,25.22
228.00,342.10,0.00,185.70,0.00,955.80,674.30,28.00,39.70
220.80,147.20,0.00,185.70,0.00,1055.00,744.30,7.00,13.09
316.10,210.70,0.00,185.70,0.00,977.00,689.30,28.00,38.70
135.70,203.50,0.00,185.70,0.00,1076.20,759.30,7.00,7.51
238.10,0.00,0.00,185.70,0.00,1118.80,789.30,28.00,17.58
339.20,0.00,0.00,185.70,0.00,1069.20,754.30,7.00,21.18
135.70,203.50,0.00,185.70,0.00,1076.20,759.30,28.00,18.20
193.50,290.20,0.00,185.70,0.00,998.20,704.30,7.00,17.20
203.50,135.70,0.00,185.70,0.00,1076.20,759.30,28.00,22.63
290.20,193.50,0.00,185.70,0.00,998.20,704.30,7.00,21.86
181.90,272.80,0.00,185.70,0.00,1012.40,714.30,7.00,12.37
170.30,155.50,0.00,185.70,0.00,1026.60,724.30,28.00,25.73
210.70,316.10,0.00,185.70,0.00,977.00,689.30,28.00,37.81
228.00,342.10,0.00,185.70,0.00,955.80,674.30,7.00,21.92
290.20,193.50,0.00,185.70,0.00,998.20,704.30,28.00,33.04
381.40,0.00,0.00,185.70,0.00,1104.60,784.30,7.00,14.54
238.20,158.80,0.00,185.70,0.00,1040.60,734.30,28.00,26.91
186.20,124.10,0.00,185.70,0.00,1083.40,764.30,7.00,8.00
339.20,0.00,0.00,185.70,0.00,1069.20,754.30,28.00,31.90
238.10,0.00,0.00,185.70,0.00,1118.80,789.30,7.00,10.34
252.50,0.00,0.00,185.70,0.00,1111.60,784.30,28.00,19.77
382.50,0.00,0.00,185.70,0.00,1047.80,739.30,28.00,37.44
252.50,0.00,0.00,185.70,0.00,1111.60,784.30,7.00,11.48
316.10,210.70,0.00,185.70,0.00,977.00,689.30,7.00,24.44
186.20,124.10,0.00,185.70,0.00,1083.40,764.30,28.00,17.60
170.30,155.50,0.00,185.70,0.00,1026.60,724.30,7.00,10.73
272.80,181.90,0.00,185.70,0.00,1012.40,714.30,28.00,31.38
339.00,0.00,0.00,197.00,0.00,968.00,781.00,3.00,13.22
339.00,0.00,0.00,197.00,0.00,968.00,781.00,7.00,20.97
339.00,0.00,0.00,197.00,0.00,968.00,781.00,14.00,27.04
339.00,0.00,0.00,197.00,0.00,968.00,781.00,28.00,32.04
339.00,0.00,0.00,197.00,0.00,968.00,781.00,90.00,35.17
339.00,0.00,0.00,197.00,0.00,968.00,781.00,180.00,36.45
339.00,0.00,0.00,197.00,0.00,968.00,781.00,365.00,38.89
236.00,0.00,0.00,194.00,0.00,968.00,885.00,3.00,6.47
236.00,0.00,0.00,194.00,0.00,968.00,885.00,14.00,12.84
236.00,0.00,0.00,194.00,0.00,968.00,885.00,28.00,18.42
236.00,0.00,0.00,194.00,0.00,968.00,885.00,90.00,21.95
236.00,0.00,0.00,193.00,0.00,968.00,885.00,180.00,24.10
236.00,0.00,0.00,193.00,0.00,968.00,885.00,365.00,25.08
277.00,0.00,0.00,191.00,0.00,968.00,856.00,14.00,21.26
277.00,0.00,0.00,191.00,0.00,968.00,856.00,28.00,25.97
277.00,0.00,0.00,191.00,0.00,968.00,856.00,3.00,11.36
277.00,0.00,0.00,191.00,0.00,968.00,856.00,90.00,31.25
277.00,0.00,0.00,191.00,0.00,968.00,856.00,180.00,32.33
277.00,0.00,0.00,191.00,0.00,968.00,856.00,360.00,33.70
254.00,0.00,0.00,198.00,0.00,968.00,863.00,3.00,9.31
254.00,0.00,0.00,198.00,0.00,968.00,863.00,90.00,26.94
254.00,0.00,0.00,198.00,0.00,968.00,863.00,180.00,27.63
254.00,0.00,0.00,198.00,0.00,968.00,863.00,365.00,29.79
307.00,0.00,0.00,193.00,0.00,968.00,812.00,180.00,34.49
307.00,0.00,0.00,193.00,0.00,968.00,812.00,365.00,36.15
307.00,0.00,0.00,193.00,0.00,968.00,812.00,3.00,12.54
307.00,0.00,0.00,193.00,0.00,968.00,812.00,28.00,27.53
307.00,0.00,0.00,193.00,0.00,968.00,812.00,90.00,32.92
236.00,0.00,0.00,193.00,0.00,968.00,885.00,7.00,9.99
200.00,0.00,0.00,180.00,0.00,1125.00,845.00,7.00,7.84
200.00,0.00,0.00,180.00,0.00,1125.00,845.00,28.00,12.25
225.00,0.00,0.00,181.00,0.00,1113.00,833.00,7.00,11.17
225.00,0.00,0.00,181.00,0.00,1113.00,833.00,28.00,17.34
325.00,0.00,0.00,184.00,0.00,1063.00,783.00,7.00,17.54
325.00,0.00,0.00,184.00,0.00,1063.00,783.00,28.00,30.57
275.00,0.00,0.00,183.00,0.00,1088.00,808.00,7.00,14.20
275.00,0.00,0.00,183.00,0.00,1088.00,808.00,28.00,24.50
300.00,0.00,0.00,184.00,0.00,1075.00,795.00,7.00,15.58
300.00,0.00,0.00,184.00,0.00,1075.00,795.00,28.00,26.85
375.00,0.00,0.00,186.00,0.00,1038.00,758.00,7.00,26.06
375.00,0.00,0.00,186.00,0.00,1038.00,758.00,28.00,38.21
400.00,0.00,0.00,187.00,0.00,1025.00,745.00,28.00,43.70
400.00,0.00,0.00,187.00,0.00,1025.00,745.00,7.00,30.14
250.00,0.00,0.00,182.00,0.00,1100.00,820.00,7.00,12.73
250.00,0.00,0.00,182.00,0.00,1100.00,820.00,28.00,20.87
350.00,0.00,0.00,186.00,0.00,1050.00,770.00,7.00,20.28
350.00,0.00,0.00,186.00,0.00,1050.00,770.00,28.00,34.29
203.50,305.30,0.00,203.50,0.00,963.40,630.00,7.00,19.54
250.20,166.80,0.00,203.50,0.00,977.60,694.10,90.00,47.71
157.00,236.00,0.00,192.00,0.00,935.40,781.20,90.00,43.38
141.30,212.00,0.00,203.50,0.00,971.80,748.50,28.00,29.89
166.80,250.20,0.00,203.50,0.00,975.60,692.60,3.00,6.90
122.60,183.90,0.00,203.50,0.00,958.20,800.10,90.00,33.19
183.90,122.60,0.00,203.50,0.00,959.20,800.00,3.00,4.90
102.00,153.00,0.00,192.00,0.00,887.00,942.00,3.00,4.57
102.00,153.00,0.00,192.00,0.00,887.00,942.00,90.00,25.46
122.60,183.90,0.00,203.50,0.00,958.20,800.10,28.00,24.29
166.80,250.20,0.00,203.50,0.00,975.60,692.60,28.00,33.95
200.00,133.00,0.00,192.00,0.00,965.40,806.20,3.00,11.41
108.30,162.40,0.00,203.50,0.00,938.20,849.00,28.00,20.59
305.30,203.50,0.00,203.50,0.00,965.40,631.00,7.00,25.89
108.30,162.40,0.00,203.50,0.00,938.20,849.00,90.00,29.23
116.00,173.00,0.00,192.00,0.00,909.80,891.90,90.00,31.02
141.30,212.00,0.00,203.50,0.00,971.80,748.50,7.00,10.39
157.00,236.00,0.00,192.00,0.00,935.40,781.20,28.00,33.66
133.00,200.00,0.00,192.00,0.00,927.40,839.20,28.00,27.87
250.20,166.80,0.00,203.50,0.00,977.60,694.10,7.00,19.35
173.00,116.00,0.00,192.00,0.00,946.80,856.80,7.00,11.39
192.00,288.00,0.00,192.00,0.00,929.80,716.10,3.00,12.79
192.00,288.00,0.00,192.00,0.00,929.80,716.10,28.00,39.32
153.00,102.00,0.00,192.00,0.00,888.00,943.10,3.00,4.78
288.00,192.00,0.00,192.00,0.00,932.00,717.80,3.00,16.11
305.30,203.50,0.00,203.50,0.00,965.40,631.00,28.00,43.38
236.00,157.00,0.00,192.00,0.00,972.60,749.10,7.00,20.42
173.00,116.00,0.00,192.00,0.00,946.80,856.80,3.00,6.94
212.00,141.30,0.00,203.50,0.00,973.40,750.00,7.00,15.03
236.00,157.00,0.00,192.00,0.00,972.60,749.10,3.00,13.57
183.90,122.60,0.00,203.50,0.00,959.20,800.00,90.00,32.53
166.80,250.20,0.00,203.50,0.00,975.60,692.60,7.00,15.75
102.00,153.00,0.00,192.00,0.00,887.00,942.00,7.00,7.68
288.00,192.00,0.00,192.00,0.00,932.00,717.80,28.00,38.80
212.00,141.30,0.00,203.50,0.00,973.40,750.00,28.00,33.00
102.00,153.00,0.00,192.00,0.00,887.00,942.00,28.00,17.28
173.00,116.00,0.00,192.00,0.00,946.80,856.80,28.00,24.28
183.90,122.60,0.00,203.50,0.00,959.20,800.00,28.00,24.05
133.00,200.00,0.00,192.00,0.00,927.40,839.20,90.00,36.59
192.00,288.00,0.00,192.00,0.00,929.80,716.10,90.00,50.73
133.00,200.00,0.00,192.00,0.00,927.40,839.20,7.00,13.66
305.30,203.50,0.00,203.50,0.00,965.40,631.00,3.00,14.14
236.00,157.00,0.00,192.00,0.00,972.60,749.10,90.00,47.78
108.30,162.40,0.00,203.50,0.00,938.20,849.00,3.00,2.33
157.00,236.00,0.00,192.00,0.00,935.40,781.20,7.00,16.89
288.00,192.00,0.00,192.00,0.00,932.00,717.80,7.00,23.52
212.00,141.30,0.00,203.50,0.00,973.40,750.00,3.00,6.81
212.00,141.30,0.00,203.50,0.00,973.40,750.00,90.00,39.70
153.00,102.00,0.00,192.00,0.00,888.00,943.10,28.00,17.96
236.00,157.00,0.00,192.00,0.00,972.60,749.10,28.00,32.88
116.00,173.00,0.00,192.00,0.00,909.80,891.90,28.00,22.35
183.90,122.60,0.00,203.50,0.00,959.20,800.00,7.00,10.79
108.30,162.40,0.00,203.50,0.00,938.20,849.00,7.00,7.72
203.50,305.30,0.00,203.50,0.00,963.40,630.00,28.00,41.68
203.50,305.30,0.00,203.50,0.00,963.40,630.00,3.00,9.56
133.00,200.00,0.00,192.00,0.00,927.40,839.20,3.00,6.88
288.00,192.00,0.00,192.00,0.00,932.00,717.80,90.00,50.53
200.00,133.00,0.00,192.00,0.00,965.40,806.20,7.00,17.17
200.00,133.00,0.00,192.00,0.00,965.40,806.20,28.00,30.44
250.20,166.80,0.00,203.50,0.00,977.60,694.10,3.00,9.73
122.60,183.90,0.00,203.50,0.00,958.20,800.10,3.00,3.32
153.00,102.00,0.00,192.00,0.00,888.00,943.10,90.00,26.32
200.00,133.00,0.00,192.00,0.00,965.40,806.20,90.00,43.25
116.00,173.00,0.00,192.00,0.00,909.80,891.90,3.00,6.28
173.00,116.00,0.00,192.00,0.00,946.80,856.80,90.00,32.10
250.20,166.80,0.00,203.50,0.00,977.60,694.10,28.00,36.96
305.30,203.50,0.00,203.50,0.00,965.40,631.00,90.00,54.60
192.00,288.00,0.00,192.00,0.00,929.80,716.10,7.00,21.48
157.00,236.00,0.00,192.00,0.00,935.40,781.20,3.00,9.69
153.00,102.00,0.00,192.00,0.00,888.00,943.10,7.00,8.37
141.30,212.00,0.00,203.50,0.00,971.80,748.50,90.00,39.66
116.00,173.00,0.00,192.00,0.00,909.80,891.90,7.00,10.09
141.30,212.00,0.00,203.50,0.00,971.80,748.50,3.00,4.83
122.60,183.90,0.00,203.50,0.00,958.20,800.10,7.00,10.35
166.80,250.20,0.00,203.50,0.00,975.60,692.60,90.00,43.57
203.50,305.30,0.00,203.50,0.00,963.40,630.00,90.00,51.86
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,3.00,11.85
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,7.00,17.24
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,28.00,27.83
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,90.00,35.76
310.00,0.00,0.00,192.00,0.00,1012.00,830.00,120.00,38.70
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,3.00,14.31
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,7.00,17.44
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,28.00,31.74
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,90.00,37.91
331.00,0.00,0.00,192.00,0.00,1025.00,821.00,120.00,39.38
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,3.00,15.87
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,7.00,9.01
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,28.00,33.61
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,90.00,40.66
349.00,0.00,0.00,192.00,0.00,1056.00,809.00,120.00,40.86
238.00,0.00,0.00,186.00,0.00,1119.00,789.00,7.00,12.05
238.00,0.00,0.00,186.00,0.00,1119.00,789.00,28.00,17.54
296.00,0.00,0.00,186.00,0.00,1090.00,769.00,7.00,18.91
296.00,0.00,0.00,186.00,0.00,1090.00,769.00,28.00,25.18
297.00,0.00,0.00,186.00,0.00,1040.00,734.00,7.00,30.96
480.00,0.00,0.00,192.00,0.00,936.00,721.00,28.00,43.89
480.00,0.00,0.00,192.00,0.00,936.00,721.00,90.00,54.28
397.00,0.00,0.00,186.00,0.00,1040.00,734.00,28.00,36.94
281.00,0.00,0.00,186.00,0.00,1104.00,774.00,7.00,14.50
281.00,0.00,0.00,185.00,0.00,1104.00,774.00,28.00,22.44
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,1.00,12.64
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,3.00,26.06
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,7.00,33.21
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,14.00,36.94
500.00,0.00,0.00,200.00,0.00,1125.00,613.00,28.00,44.09
540.00,0.00,0.00,173.00,0.00,1125.00,613.00,7.00,52.61
